rank,word,frequency
1,the,13953
2,and,7381
3,of,6465
4,to,6345
5,harry,5185
6,he,5056
7,a,4892
8,said,3945
9,s,3669
10,you,3658
11,was,3612
12,his,3248
13,it,3173
14,in,3115
15,i,3072
16,that,2623
17,had,2347
18,at,2169
19,as,1798
20,her,1773
21,on,1747
22,him,1610
23,not,1604
24,she,1576
25,with,1571
26,t,1561
27,they,1508
28,potter,1390
29,but,1390
30,for,1309
31,ron,1307
32,hermione,1307
33,what,1216
34,order,1213
35,page,1136
36,phoenix,1135
37,k,1118
38,we,1110
39,j,1109
40,rowling,1107
41,from,1079
42,be,1056
43,all,1034
44,up,1024
45,them,991
46,were,991
47,out,988
48,have,958
49,so,824
50,there,808
51,back,791
52,been,778
53,who,774
54,this,770
55,is,702
56,into,690
57,an,678
58,now,677
59,well,664
60,dumbledore,661
61,if,650
62,sirius,646
63,just,646
64,could,639
65,no,612
66,when,608
67,me,606
68,know,604
69,did,602
70,about,595
71,their,594
72,then,589
73,down,586
74,over,581
75,professor,580
76,do,572
77,umbridge,572
78,are,561
79,would,552
80,around,549
81,your,549
82,again,546
83,looked,540
84,very,540
85,re,531
86,like,529
87,one,523
88,by,516
89,can,515
90,got,500
91,though,495
92,looking,490
93,more,489
94,ve,481
95,weasley,479
96,don,476
97,hagrid,458
98,voice,437
99,d,435
100,see,434
101,right,434
102,how,430
103,off,429
104,think,417
105,time,412
106,still,409
107,face,396
108,or,392
109,get,390
110,going,386
111,snape,384
112,door,384
113,head,374
114,which,368
115,ll,359
116,before,357
117,room,348
118,through,348
119,my,347
120,here,346
121,look,338
122,eyes,337
123,fred,327
124,m,323
125,than,323
126,too,320
127,where,314
128,come,314
129,only,313
130,asked,311
131,wand,310
132,behind,306
133,thought,301
134,go,292
135,george,288
136,oh,282
137,something,279
138,much,278
139,mrs,276
140,after,274
141,neville,274
142,us,272
143,hand,271
144,good,271
145,want,269
146,will,266
147,toward,265
148,why,264
149,other,263
150,turned,262
151,tell,261
152,yes,260
153,two,258
154,yeah,257
155,way,255
156,away,255
157,himself,254
158,seemed,249
159,some,249
160,last,248
161,once,247
162,really,242
163,mr,241
164,saw,241
165,people,239
166,long,238
167,made,236
168,little,234
169,first,232
170,ginny,230
171,told,228
172,dark,227
173,felt,226
174,moment,218
175,didn,217
176,even,216
177,let,216
178,say,215
179,left,214
180,knew,211
181,voldemort,211
182,floor,211
183,malfoy,210
184,ministry,206
185,any,205
186,because,205
187,has,205
188,might,204
189,great,195
190,front,192
191,never,191
192,feet,189
193,mean,189
194,heard,186
195,few,185
196,sure,184
197,mcgonagall,181
198,fudge,179
199,gave,177
200,open,175
201,black,174
202,trying,174
203,while,172
204,another,172
205,end,171
206,take,171
207,three,170
208,nothing,169
209,our,169
210,table,169
211,course,167
212,rather,165
213,night,165
214,bit,165
215,ever,164
216,against,164
217,lupin,163
218,quite,163
219,anything,163
220,found,163
221,magic,162
222,death,161
223,inside,159
224,every,159
225,hall,157
226,its,157
227,hogwarts,154
228,took,154
229,make,153
230,came,150
231,slightly,150
232,place,148
233,cho,148
234,must,147
235,doing,146
236,staring,146
237,feeling,145
238,house,145
239,luna,143
240,hear,142
241,onto,142
242,put,141
243,own,141
244,upon,140
245,office,138
246,under,138
247,seen,137
248,give,137
249,hands,137
250,mouth,137
251,need,137
252,o,136
253,across,136
254,next,136
255,being,135
256,along,135
257,without,134
258,thing,133
259,old,132
260,wanted,132
261,between,130
262,enough,130
263,hard,129
264,bed,129
265,find,128
266,day,128
267,mind,127
268,year,126
269,eye,126
270,better,126
271,years,125
272,air,125
273,yet,124
274,both,124
275,ter,124
276,those,123
277,second,123
278,standing,122
279,half,122
280,quietly,121
281,dudley,121
282,went,121
283,large,121
284,others,121
285,am,121
286,uncle,120
287,full,120
288,pulled,119
289,hair,118
290,each,118
291,side,118
292,kreacher,118
293,school,118
294,talking,118
295,most,117
296,students,117
297,walked,117
298,past,117
299,these,117
300,gryffindor,115
301,window,115
302,happened,114
303,vernon,112
304,stood,112
305,many,111
306,should,111
307,fell,109
308,opened,109
309,already,109
310,always,108
311,anyway,108
312,wizard,106
313,light,106
314,keep,105
315,forward,105
316,watching,104
317,quidditch,104
318,parchment,103
319,done,103
320,help,103
321,desk,103
322,top,103
323,robes,103
324,tonks,101
325,passed,100
326,new,100
327,beside,100
328,whispered,99
329,quickly,99
330,set,99
331,moody,99
332,class,99
333,whether,99
334,er,99
335,raised,99
336,sat,99
337,together,98
338,won,98
339,gone,98
340,small,98
341,far,97
342,things,96
343,sitting,96
344,haven,96
345,shouted,96
346,man,95
347,able,95
348,loudly,95
349,wall,94
350,corridor,93
351,yeh,93
352,five,92
353,talk,91
354,until,91
355,chair,91
356,slowly,91
357,everyone,91
358,several,90
359,outside,90
360,same,90
361,leave,90
362,read,90
363,almost,90
364,else,89
365,feel,89
366,high,89
367,stared,89
368,fire,89
369,taking,89
370,shoulder,88
371,stop,88
372,began,88
373,idea,87
374,magical,87
375,followed,87
376,tried,86
377,okay,86
378,doesn,86
379,isn,85
380,boy,85
381,trelawney,85
382,four,84
383,angelina,84
