rank,word,frequency
1,the,4118
2,and,2248
3,of,2039
4,to,1277
5,in,1085
6,i,922
7,that,880
8,a,869
9,he,788
10,his,634
11,was,622
12,is,592
13,with,582
14,it,517
15,who,517
16,as,482
17,me,464
18,not,462
19,thou,396
20,which,376
21,from,370
22,him,369
23,so,367
24,for,356
25,this,354
26,one,344
27,by,331
28,had,311
29,on,280
30,my,280
31,but,264
32,dante,254
33,be,252
34,at,249
35,were,246
36,they,240
37,them,231
38,all,223
39,there,211
40,their,208
41,if,203
42,upon,199
43,when,196
44,are,190
45,said,179
46,have,176
47,we,165
48,s,165
49,other,163
50,inferno,162
51,thee,161
52,or,153
53,then,152
54,now,149
55,unto,141
56,where,141
57,us,134
58,made,132
59,more,131
60,divine,129
61,what,128
62,canto,128
63,comedy,121
64,such,120
65,http,118
66,com,118
67,down,118
68,here,115
69,alighieri,115
70,www,113
71,paskvil,112
72,its,112
73,thy,107
74,these,107
75,still,102
76,o,101
77,did,100
78,out,99
79,great,98
80,see,98
81,will,97
82,no,95
83,her,93
84,than,92
85,has,89
86,time,88
87,into,88
88,after,87
89,up,87
90,an,85
91,may,85
92,master,83
93,those,83
94,two,82
95,people,82
96,saw,82
97,through,82
98,thus,81
99,before,79
100,way,78
101,been,78
102,rst,78
103,would,78
104,because,77
105,do,77
106,some,75
107,she,75
108,c,74
109,our,74
110,whom,73
111,nor,72
112,come,71
113,figure,70
114,says,70
115,florence,70
116,many,70
117,little,70
118,turned,69
119,within,68
120,place,67
121,world,66
122,art,66
123,without,65
124,himself,65
125,man,64
126,shall,64
127,like,64
128,eyes,64
129,round,63
130,each,63
131,city,63
132,say,62
133,doth,62
134,came,61
135,how,60
136,make,60
137,much,59
138,even,59
139,any,59
140,you,57
141,re,56
142,go,56
143,others,54
144,er,53
145,life,53
146,well,53
147,side,53
148,am,52
149,good,52
150,head,51
151,only,51
152,beheld,51
153,name,51
154,three,51
155,death,51
156,forth,50
157,never,50
158,against,50
159,among,50
160,know,49
161,both,49
162,far,49
163,feet,49
164,along,48
165,already,48
166,own,48
167,every,47
168,about,47
169,near,47
170,another,47
171,together,46
172,should,46
173,over,45
174,called,45
175,words,45
176,back,43
177,speak,43
178,under,43
179,hand,42
180,could,42
181,father,41
182,whence,41
183,let,41
184,circle,40
185,new,40
186,love,40
187,tell,40
188,while,39
189,left,39
190,god,39
191,longfellow,39
192,began,39
193,son,38
194,king,38
195,went,37
196,can,37
197,mine,37
198,most,37
199,long,37
200,face,37
201,behold,37
202,being,37
203,above,37
204,soon,36
205,again,36
206,guide,36
207,whose,36
208,think,36
209,poet,35
210,why,35
211,de,35
212,itself,35
213,therefore,35
214,seems,34
215,pope,34
216,put,34
217,held,34
218,away,34
219,between,34
220,seemed,33
221,part,33
222,yet,33
223,shalt,33
224,right,32
225,hast,32
226,soul,32
227,once,32
228,behind,32
229,became,32
230,off,31
231,dost,31
