rank,word,frequency
1,the,4493
2,and,2562
3,to,2041
4,harry,2035
5,of,2023
6,a,1811
7,he,1535
8,was,1266
9,said,1218
10,s,1216
11,it,1205
12,his,1169
13,you,1109
14,in,1027
15,i,1014
16,that,727
17,t,721
18,ron,706
19,at,676
20,had,674
21,on,597
22,as,586
23,they,543
24,potter,509
25,with,487
26,him,487
27,chamber,464
28,but,462
29,for,431
30,secrets,428
31,page,393
32,what,390
33,out,387
34,k,386
35,all,385
36,up,383
37,be,382
38,j,381
39,rowling,379
40,were,336
41,them,336
42,hermione,320
43,from,316
44,we,316
45,into,305
46,there,295
47,her,289
48,have,284
49,back,279
50,been,278
51,she,269
52,not,260
53,this,250
54,me,247
55,who,246
56,so,239
57,lockhart,234
58,d,225
59,one,222
60,malfoy,222
61,if,220
62,no,220
63,is,218
64,could,211
65,ve,205
66,their,203
67,over,196
68,my,192
69,professor,192
70,an,187
71,about,186
72,got,185
73,like,184
74,just,183
75,by,181
76,around,173
77,know,173
78,weasley,173
79,off,173
80,when,172
81,through,170
82,down,169
83,now,165
84,can,163
85,hagrid,163
86,ll,162
87,then,161
88,very,159
89,dumbledore,159
90,didn,157
91,looked,156
92,go,156
93,dobby,153
94,re,151
95,see,151
96,your,150
97,would,149
98,don,149
99,time,149
100,think,148
101,eyes,147
102,do,146
103,how,139
104,get,139
105,riddle,135
106,mr,135
107,right,131
108,face,130
109,more,129
110,looking,129
111,still,127
112,door,126
113,look,122
114,here,120
115,well,120
116,head,119
117,come,119
118,m,116
119,never,116
120,ginny,115
121,long,115
122,though,114
123,again,113
124,too,113
125,voice,113
126,school,112
127,only,112
128,something,109
129,wand,107
130,going,107
131,are,106
132,where,106
133,let,106
134,slytherin,106
135,fred,103
136,will,101
137,way,99
138,than,98
139,snape,98
140,did,96
141,mrs,96
142,large,94
143,behind,93
144,before,93
145,room,93
146,told,93
147,hogwarts,92
148,mcgonagall,91
149,george,91
150,away,91
151,sir,89
152,heard,88
153,last,88
154,saw,88
155,or,87
156,even,87
157,car,87
158,dark,86
159,why,85
160,good,85
161,which,85
162,tell,84
163,hand,84
164,thought,82
165,himself,82
166,next,81
167,gryffindor,80
168,oh,79
169,people,79
170,came,79
171,turned,78
172,two,77
173,went,76
174,must,76
175,its,76
176,floor,74
177,percy,74
178,other,73
179,toward,71
180,seemed,71
181,first,71
182,after,70
183,front,70
184,any,70
185,because,69
186,open,69
187,myrtle,68
188,made,68
189,diary,67
190,great,67
191,knew,67
192,has,66
193,want,66
194,say,65
195,wasn,64
196,house,64
197,might,63
198,onto,63
199,couldn,63
200,nearly,62
201,left,62
202,black,61
203,opened,61
204,anything,61
205,trying,61
206,feet,60
207,ever,60
208,another,60
209,some,59
210,filch,59
211,thing,59
212,year,59
213,felt,58
214,us,58
215,old,58
216,started,57
217,magic,57
218,muggle,56
219,little,56
220,took,56
221,better,56
222,much,55
223,quickly,55
224,moment,55
225,three,55
226,our,55
227,once,54
228,under,54
229,pulled,54
230,found,53
231,find,52
232,gave,52
233,make,51
234,small,51
235,course,50
236,really,50
237,wizard,50
238,suddenly,50
239,hair,50
240,bed,50
241,end,50
242,seen,49
243,own,49
244,castle,49
245,boy,49
246,someone,49
247,sure,49
248,stood,48
249,half,48
250,inside,48
251,hear,48
252,against,48
253,robes,48
254,mean,47
255,asked,47
256,take,47
257,nick,47
258,hard,47
259,need,47
260,hat,47
261,window,46
262,hadn,46
263,colin,46
264,wood,46
265,both,46
266,nothing,46
267,wall,45
268,whole,45
269,book,45
270,hall,45
271,crowd,44
272,madam,44
273,everyone,44
274,mouth,44
275,reached,43
276,uncle,43
277,while,43
278,new,43
279,almost,43
280,put,43
281,few,43
282,quidditch,43
283,class,42
284,far,42
285,stop,42
286,books,42
287,tried,42
288,second,42
289,most,42
290,however,41
291,wanted,41
292,arm,41
293,read,41
294,help,41
295,vernon,41
296,done,40
297,shouted,40
298,stopped,40
299,place,40
300,table,40
301,enough,40
302,hands,40
303,years,40
304,sight,40
305,goyle,40
306,justin,40
307,later,39
308,office,39
309,doing,39
310,walked,39
311,wouldn,39
312,along,39
