rank,word,frequency
1,the,6009
2,i,4438
3,to,2754
4,and,2424
5,a,2123
6,of,1934
7,my,1631
8,s,1593
9,in,1476
10,it,1450
11,he,1001
12,that,942
13,me,936
14,but,925
15,you,820
16,t,795
17,on,773
18,for,723
19,is,682
20,with,633
21,we,631
22,have,596
23,can,593
24,as,588
25,be,587
26,peeta,578
27,at,551
28,they,547
29,from,526
30,his,504
31,not,480
32,up,470
33,games,460
34,her,455
35,out,436
36,one,427
37,says,420
38,m,412
39,what,411
40,she,409
41,if,405
42,hunger,395
43,him,380
44,this,375
45,there,371
46,no,368
47,when,368
48,collins,357
49,page,357
50,suzanne,357
51,are,356
52,so,353
53,back,325
54,then,324
55,was,319
56,say,317
57,just,313
58,about,312
59,into,306
60,all,299
61,has,295
62,us,291
63,them,276
64,will,275
65,know,272
66,do,272
67,don,267
68,now,237
69,been,235
70,district,235
71,by,231
72,an,230
73,ve,227
74,haymitch,227
75,re,226
76,get,221
77,or,217
78,even,215
79,think,213
80,our,212
81,how,211
82,only,210
83,off,204
84,down,203
85,had,202
86,see,202
87,who,199
88,like,198
89,because,197
90,time,196
91,some,191
92,right,182
93,too,172
94,more,170
95,their,169
96,could,169
97,go,169
98,would,163
99,over,163
100,rue,163
101,myself,161
102,around,156
103,your,155
104,still,154
105,ll,151
106,first,145
107,make,144
108,take,144
109,good,134
110,d,133
111,before,131
112,here,129
113,cato,128
114,were,127
115,well,127
116,must,124
117,through,123
118,where,123
119,head,122
120,prim,121
121,capitol,121
122,want,121
123,never,121
124,eyes,119
125,did,118
126,way,118
127,boy,117
128,tributes,116
129,something,116
130,other,115
131,away,115
132,water,115
133,few,114
134,than,113
135,girl,113
136,cinna,112
137,two,112
138,going,111
139,hand,108
140,let,107
141,last,107
142,thing,107
143,face,105
144,much,105
145,gale,104
146,look,104
147,hear,104
148,mother,104
149,enough,103
150,home,102
151,day,102
152,feel,99
153,moment,98
154,after,97
155,come,97
156,another,96
157,hands,96
158,woods,94
159,find,93
160,which,93
161,people,93
162,maybe,92
163,while,91
164,until,91
165,long,89
166,really,88
167,any,88
168,night,87
169,again,85
170,give,85
171,effie,85
172,arena,84
173,very,84
174,little,84
175,being,84
176,tell,83
177,food,83
178,try,83
179,both,81
180,help,81
181,tree,81
182,katniss,80
183,since,79
184,sure,79
185,feet,78
186,place,78
187,might,78
188,body,78
189,ask,77
190,fire,76
191,keep,76
192,though,76
