rank,word,frequency
1,the,3630
2,and,1924
3,to,1861
4,he,1758
5,a,1691
6,harry,1327
7,of,1267
8,was,1186
9,it,1185
10,you,1035
11,s,1010
12,in,967
13,his,937
14,i,924
15,t,836
16,said,794
17,had,702
18,they,690
19,that,688
20,on,637
21,at,625
22,as,526
23,him,501
24,but,485
25,ron,429
26,with,416
27,all,398
28,what,384
29,out,375
30,up,371
31,hagrid,370
32,for,370
33,be,368
34,them,325
35,there,312
36,were,306
37,have,297
38,d,282
39,hermione,270
40,we,269
41,back,261
42,one,257
43,she,252
44,this,249
45,if,245
46,from,241
47,so,238
48,not,237
49,about,225
50,into,219
51,me,219
52,an,219
53,their,217
54,know,212
55,been,211
56,off,201
57,who,200
58,got,199
59,could,198
60,didn,198
61,no,196
62,get,194
63,like,194
64,down,182
65,professor,181
66,her,180
67,see,180
68,just,180
69,ve,179
70,when,178
71,is,175
72,don,173
73,snape,172
74,very,172
75,over,171
76,looked,169
77,do,168
78,now,166
79,then,165
80,ll,161
81,dumbledore,159
82,are,158
83,by,150
84,your,149
85,can,147
86,around,142
87,dudley,139
88,how,138
89,re,137
90,going,135
91,go,134
92,something,132
93,right,127
94,never,126
95,look,126
96,through,125
97,malfoy,123
98,m,123
99,think,123
100,uncle,122
101,time,120
102,yeh,120
103,neville,117
104,vernon,116
105,first,115
106,here,114
107,well,112
108,quirrell,112
109,more,111
110,only,111
111,looking,109
112,where,109
113,or,109
114,would,108
115,before,107
116,couldn,106
117,door,106
118,my,106
119,eyes,105
120,even,105
121,potter,104
122,two,103
123,too,101
124,again,101
125,mcgonagall,101
126,did,101
127,head,99
128,people,97
129,next,96
130,thought,96
131,come,95
132,way,94
133,face,93
134,told,93
135,than,93
136,still,92
137,good,91
138,room,91
139,other,90
140,will,89
141,which,89
142,though,86
143,gryffindor,86
144,boy,85
145,because,85
146,its,85
147,last,84
148,left,82
149,us,81
150,some,81
151,mr,81
152,stone,80
153,three,80
154,hogwarts,79
155,behind,79
156,ter,78
157,wasn,78
158,turned,77
159,house,77
160,much,76
161,came,75
162,heard,75
163,say,75
164,once,74
165,anything,74
166,want,74
167,really,73
168,let,72
169,seemed,72
170,great,72
171,long,71
172,went,71
173,toward,71
174,little,71
175,tell,70
176,away,70
177,yes,69
178,hand,69
179,found,69
180,suddenly,69
181,school,69
182,why,68
183,oh,68
184,after,68
185,bit,67
186,made,66
187,must,65
188,aunt,65
189,himself,65
190,trying,64
191,knew,64
192,took,63
193,wand,63
194,any,63
195,take,63
196,saw,63
197,tried,63
198,dark,62
199,put,61
200,ever,60
201,everyone,60
202,quidditch,60
203,while,60
204,asked,60
205,old,59
206,voice,59
207,day,59
208,wood,59
209,inside,59
210,petunia,58
211,open,57
212,nothing,57
213,black,57
214,cloak,57
215,dursley,56
216,another,56
217,keep,56
218,might,55
219,few,55
220,every,54
221,find,54
222,things,54
223,hadn,54
224,floor,53
225,seen,53
226,make,53
227,yer,53
228,front,52
229,wouldn,52
230,feet,52
231,years,52
232,filch,52
233,large,51
234,pulled,51
235,gone,50
236,slytherin,50
237,end,50
238,dursleys,50
239,felt,49
240,mind,49
241,thing,49
242,night,49
243,course,49
244,hall,49
245,started,49
246,magic,48
247,wizard,48
248,weasley,48
249,enough,48
250,name,47
251,almost,47
252,mirror,47
253,lot,47
254,air,47
255,moment,47
256,walked,46
257,wanted,46
258,fell,46
259,mrs,46
260,letter,46
261,until,45
262,stop,45
263,sat,45
264,bed,45
265,table,45
266,points,44
267,called,44
268,quickly,44
269,done,44
270,second,44
271,owl,44
272,high,44
273,past,44
274,should,44
275,saying,44
276,later,43
277,already,43
278,won,43
279,books,43
280,sure,43
281,o,42
282,read,42
283,always,41
284,yet,41
285,our,41
286,without,41
287,better,41
288,try,40
289,half,40
290,hat,40
291,remember,39
292,these,39
293,under,39
294,anyone,39
295,caught,39
296,life,39
297,percy,39
298,across,38
299,new,38
300,kept,38
301,else,38
302,onto,38
303,hair,38
304,being,38
305,voldemort,38
306,fire,37
307,year,37
308,stood,37
309,same,37
310,troll,37
311,four,37
312,full,37
313,man,37
314,nearly,37
315,gave,37
316,reached,37
317,father,36
318,madam,36
319,wall,36
320,outside,36
321,quite,36
322,dragon,36
323,forest,36
324,white,35
325,whispered,35
326,each,35
327,stared,35
